GeneIdOld,GeneIdOldShort,GeneIdNew
p3_t120017_Ust_horde_v2@UHOR_16068@5583,UHOR_16068,Usho_5583
p3_t120017_Ust_horde_v2@UHOR_02300@5584,UHOR_02300,Usho_5584
p3_t120017_Ust_horde_v2@UHOR_02302@5585,UHOR_02302,Usho_5585
p3_t120017_Ust_horde_v2@UHOR_02304@5586,UHOR_02304,Usho_5586
p3_t120017_Ust_horde_v2@UHOR_02305@5587,UHOR_02305,Usho_5587
p3_t120017_Ust_horde_v2@UHOR_02306@5588,UHOR_02306,Usho_5588
p3_t120017_Ust_horde_v2@UHOR_02307@5589,UHOR_02307,Usho_5589
p3_t120017_Ust_horde_v2@UHOR_02309@5590,UHOR_02309,Usho_5590
p3_t120017_Ust_horde_v2@UHOR_02311@5591,UHOR_02311,Usho_5591
p3_t120017_Ust_horde_v2@UHOR_02312@5592,UHOR_02312,Usho_5592
p3_t120017_Ust_horde_v2@UHOR_02314@5593,UHOR_02314,Usho_5593
p3_t120017_Ust_horde_v2@UHOR_02315@5594,UHOR_02315,Usho_5594
p3_t120017_Ust_horde_v2@UHOR_02317@5595,UHOR_02317,Usho_5595
p3_t120017_Ust_horde_v2@UHOR_02319@5596,UHOR_02319,Usho_5596
p3_t120017_Ust_horde_v2@UHOR_02320@5597,UHOR_02320,Usho_5597
p3_t120017_Ust_horde_v2@UHOR_02321@5598,UHOR_02321,Usho_5598
p3_t120017_Ust_horde_v2@UHOR_02322@5599,UHOR_02322,Usho_5599
p3_t120017_Ust_horde_v2@UHOR_02323@5600,UHOR_02323,Usho_5600
p3_t120017_Ust_horde_v2@UHOR_02324@5601,UHOR_02324,Usho_5601
p3_t120017_Ust_horde_v2@UHOR_02325@5602,UHOR_02325,Usho_5602
p3_t120017_Ust_horde_v2@UHOR_02327@5603,UHOR_02327,Usho_5603
p3_t120017_Ust_horde_v2@UHOR_02329@5604,UHOR_02329,Usho_5604
p3_t120017_Ust_horde_v2@UHOR_02333@5605,UHOR_02333,Usho_5605
p3_t120017_Ust_horde_v2@UHOR_02334@5606,UHOR_02334,Usho_5606
p3_t120017_Ust_horde_v2@UHOR_02336@5607,UHOR_02336,Usho_5607
p3_t120017_Ust_horde_v2@UHOR_02337@5608,UHOR_02337,Usho_5608
p3_t120017_Ust_horde_v2@UHOR_02338@5609,UHOR_02338,Usho_5609
p3_t120017_Ust_horde_v2@UHOR_02339@5610,UHOR_02339,Usho_5610
p3_t120017_Ust_horde_v2@UHOR_16054@5611,UHOR_16054,Usho_5611
p3_t120017_Ust_horde_v2@UHOR_16052@5612,UHOR_16052,Usho_5612
p3_t120017_Ust_horde_v2@UHOR_16051@5613,UHOR_16051,Usho_5613
p3_t120017_Ust_horde_v2@UHOR_02341@5614,UHOR_02341,Usho_5614
p3_t120017_Ust_horde_v2@UHOR_02342@5615,UHOR_02342,Usho_5615
p3_t120017_Ust_horde_v2@UHOR_02343@5616,UHOR_02343,Usho_5616
p3_t120017_Ust_horde_v2@UHOR_02344@5617,UHOR_02344,Usho_5617
p3_t120017_Ust_horde_v2@UHOR_02346@5618,UHOR_02346,Usho_5618
p3_t120017_Ust_horde_v2@UHOR_02347@5619,UHOR_02347,Usho_5619
p3_t120017_Ust_horde_v2@UHOR_02348@5620,UHOR_02348,Usho_5620
p3_t120017_Ust_horde_v2@UHOR_02350@5621,UHOR_02350,Usho_5621
p3_t120017_Ust_horde_v2@UHOR_02352@5622,UHOR_02352,Usho_5622
p3_t120017_Ust_horde_v2@UHOR_02356@5623,UHOR_02356,Usho_5623
p3_t120017_Ust_horde_v2@UHOR_02358@5624,UHOR_02358,Usho_5624
p3_t120017_Ust_horde_v2@UHOR_02360@5625,UHOR_02360,Usho_5625
p3_t120017_Ust_horde_v2@UHOR_02362@5626,UHOR_02362,Usho_5626
p3_t120017_Ust_horde_v2@UHOR_02364@5627,UHOR_02364,Usho_5627
p3_t120017_Ust_horde_v2@UHOR_02365@5628,UHOR_02365,Usho_5628
p3_t120017_Ust_horde_v2@UHOR_02367@5629,UHOR_02367,Usho_5629
p3_t120017_Ust_horde_v2@UHOR_02368@5630,UHOR_02368,Usho_5630
p3_t120017_Ust_horde_v2@UHOR_02370@5631,UHOR_02370,Usho_5631
p3_t120017_Ust_horde_v2@UHOR_02371@5632,UHOR_02371,Usho_5632
p3_t120017_Ust_horde_v2@UHOR_02372@5633,UHOR_02372,Usho_5633
p3_t120017_Ust_horde_v2@UHOR_16037@5634,UHOR_16037,Usho_5634
p3_t120017_Ust_horde_v2@UHOR_02375@5635,UHOR_02375,Usho_5635
p3_t120017_Ust_horde_v2@UHOR_02376@5636,UHOR_02376,Usho_5636
p3_t120017_Ust_horde_v2@UHOR_02377@5637,UHOR_02377,Usho_5637
p3_t120017_Ust_horde_v2@UHOR_02378@5638,UHOR_02378,Usho_5638
p3_t120017_Ust_horde_v2@UHOR_02379@5639,UHOR_02379,Usho_5639
p3_t120017_Ust_horde_v2@UHOR_02380@5640,UHOR_02380,Usho_5640
p3_t120017_Ust_horde_v2@UHOR_02382@5641,UHOR_02382,Usho_5641
p3_t120017_Ust_horde_v2@UHOR_02383@5642,UHOR_02383,Usho_5642
p3_t120017_Ust_horde_v2@UHOR_02384@5643,UHOR_02384,Usho_5643
p3_t120017_Ust_horde_v2@UHOR_02385@5644,UHOR_02385,Usho_5644
p3_t120017_Ust_horde_v2@UHOR_02388@5645,UHOR_02388,Usho_5645
p3_t120017_Ust_horde_v2@UHOR_02390@5646,UHOR_02390,Usho_5646
p3_t120017_Ust_horde_v2@UHOR_02458@5647,UHOR_02458,Usho_5647
p3_t120017_Ust_horde_v2@UHOR_16029@5648,UHOR_16029,Usho_5648
p3_t120017_Ust_horde_v2@UHOR_02446@5649,UHOR_02446,Usho_5649
p3_t120017_Ust_horde_v2@UHOR_02445@5650,UHOR_02445,Usho_5650
p3_t120017_Ust_horde_v2@UHOR_02443@5651,UHOR_02443,Usho_5651
p3_t120017_Ust_horde_v2@UHOR_02442@5652,UHOR_02442,Usho_5652
p3_t120017_Ust_horde_v2@UHOR_02441@5653,UHOR_02441,Usho_5653
p3_t120017_Ust_horde_v2@UHOR_02439@5654,UHOR_02439,Usho_5654
p3_t120017_Ust_horde_v2@UHOR_16024@5655,UHOR_16024,Usho_5655
p3_t120017_Ust_horde_v2@UHOR_02437@5656,UHOR_02437,Usho_5656
p3_t120017_Ust_horde_v2@UHOR_02435@5657,UHOR_02435,Usho_5657
p3_t120017_Ust_horde_v2@UHOR_02433@5658,UHOR_02433,Usho_5658
p3_t120017_Ust_horde_v2@UHOR_02432@5659,UHOR_02432,Usho_5659
p3_t120017_Ust_horde_v2@UHOR_02430@5660,UHOR_02430,Usho_5660
p3_t120017_Ust_horde_v2@UHOR_02429@5661,UHOR_02429,Usho_5661
p3_t120017_Ust_horde_v2@UHOR_02428@5662,UHOR_02428,Usho_5662
p3_t120017_Ust_horde_v2@UHOR_02427@5663,UHOR_02427,Usho_5663
p3_t120017_Ust_horde_v2@UHOR_02425@5664,UHOR_02425,Usho_5664
p3_t120017_Ust_horde_v2@UHOR_02422@5665,UHOR_02422,Usho_5665
p3_t120017_Ust_horde_v2@UHOR_02420@5666,UHOR_02420,Usho_5666
p3_t120017_Ust_horde_v2@UHOR_02419@5667,UHOR_02419,Usho_5667
p3_t120017_Ust_horde_v2@UHOR_02418@5668,UHOR_02418,Usho_5668
p3_t120017_Ust_horde_v2@UHOR_02417@5669,UHOR_02417,Usho_5669
p3_t120017_Ust_horde_v2@UHOR_02416@5670,UHOR_02416,Usho_5670
p3_t120017_Ust_horde_v2@UHOR_02414@5671,UHOR_02414,Usho_5671
p3_t120017_Ust_horde_v2@UHOR_02413@5672,UHOR_02413,Usho_5672
p3_t120017_Ust_horde_v2@UHOR_02412@5673,UHOR_02412,Usho_5673
p3_t120017_Ust_horde_v2@UHOR_02409@5674,UHOR_02409,Usho_5674
p3_t120017_Ust_horde_v2@UHOR_02408@5675,UHOR_02408,Usho_5675
p3_t120017_Ust_horde_v2@UHOR_02407@5676,UHOR_02407,Usho_5676
p3_t120017_Ust_horde_v2@UHOR_02406@5677,UHOR_02406,Usho_5677
p3_t120017_Ust_horde_v2@UHOR_02405@5678,UHOR_02405,Usho_5678
p3_t120017_Ust_horde_v2@UHOR_02403@5679,UHOR_02403,Usho_5679
p3_t120017_Ust_horde_v2@UHOR_02402@5680,UHOR_02402,Usho_5680
p3_t120017_Ust_horde_v2@UHOR_02400@5681,UHOR_02400,Usho_5681
p3_t120017_Ust_horde_v2@UHOR_02399@5682,UHOR_02399,Usho_5682
p3_t120017_Ust_horde_v2@UHOR_02398@5683,UHOR_02398,Usho_5683
p3_t120017_Ust_horde_v2@UHOR_02397@5684,UHOR_02397,Usho_5684
p3_t120017_Ust_horde_v2@UHOR_02395@5685,UHOR_02395,Usho_5685
p3_t120017_Ust_horde_v2@UHOR_02394@5686,UHOR_02394,Usho_5686
p3_t120017_Ust_horde_v2@UHOR_02393@5687,UHOR_02393,Usho_5687
p3_t120017_Ust_horde_v2@UHOR_02391@5688,UHOR_02391,Usho_5688
p3_t120017_Ust_horde_v2@UHOR_02459@5689,UHOR_02459,Usho_5689
p3_t120017_Ust_horde_v2@UHOR_02461@5690,UHOR_02461,Usho_5690
p3_t120017_Ust_horde_v2@UHOR_02463@5691,UHOR_02463,Usho_5691
p3_t120017_Ust_horde_v2@UHOR_02464@5692,UHOR_02464,Usho_5692
p3_t120017_Ust_horde_v2@UHOR_16004@5693,UHOR_16004,Usho_5693
p3_t120017_Ust_horde_v2@UHOR_02465@5694,UHOR_02465,Usho_5694
p3_t120017_Ust_horde_v2@UHOR_02466@5695,UHOR_02466,Usho_5695
p3_t120017_Ust_horde_v2@UHOR_02467@5696,UHOR_02467,Usho_5696
p3_t120017_Ust_horde_v2@UHOR_02149@5697,UHOR_02149,Usho_5697
p3_t120017_Ust_horde_v2@UHOR_02150@5698,UHOR_02150,Usho_5698
p3_t120017_Ust_horde_v2@UHOR_02151@5699,UHOR_02151,Usho_5699
p3_t120017_Ust_horde_v2@UHOR_02153@5700,UHOR_02153,Usho_5700
p3_t120017_Ust_horde_v2@UHOR_02154@5701,UHOR_02154,Usho_5701
p3_t120017_Ust_horde_v2@UHOR_02156@5702,UHOR_02156,Usho_5702
p3_t120017_Ust_horde_v2@UHOR_02157@5703,UHOR_02157,Usho_5703
p3_t120017_Ust_horde_v2@UHOR_02158@5704,UHOR_02158,Usho_5704
p3_t120017_Ust_horde_v2@UHOR_02160@5705,UHOR_02160,Usho_5705
p3_t120017_Ust_horde_v2@UHOR_02161@5706,UHOR_02161,Usho_5706
p3_t120017_Ust_horde_v2@UHOR_02162@5707,UHOR_02162,Usho_5707
p3_t120017_Ust_horde_v2@UHOR_02164@5708,UHOR_02164,Usho_5708
p3_t120017_Ust_horde_v2@UHOR_02165@5709,UHOR_02165,Usho_5709
p3_t120017_Ust_horde_v2@UHOR_02166@5710,UHOR_02166,Usho_5710
p3_t120017_Ust_horde_v2@UHOR_02167@5711,UHOR_02167,Usho_5711
p3_t120017_Ust_horde_v2@UHOR_02168@5712,UHOR_02168,Usho_5712
p3_t120017_Ust_horde_v2@UHOR_02169@5713,UHOR_02169,Usho_5713
