GeneIdOld,GeneIdOldShort,GeneIdNew
p3_t307758_Ust_bromi_v3@UBRO_01016@53580,UBRO_01016,Usbr_0182
p3_t307758_Ust_bromi_v3@UBRO_01015@53579,UBRO_01015,Usbr_0183
p3_t307758_Ust_bromi_v3@UBRO_01009@53575,UBRO_01009,Usbr_0184
p3_t307758_Ust_bromi_v3@UBRO_01011@53576,UBRO_01011,Usbr_0185
p3_t307758_Ust_bromi_v3@UBRO_01012@53577,UBRO_01012,Usbr_0186
p3_t307758_Ust_bromi_v3@UBRO_01014@53578,UBRO_01014,Usbr_0187
p3_t307758_Ust_bromi_v3@UBRO_00994@53563,UBRO_00994,Usbr_0188
p3_t307758_Ust_bromi_v3@UBRO_00996@53564,UBRO_00996,Usbr_0189
p3_t307758_Ust_bromi_v3@UBRO_00997@53565,UBRO_00997,Usbr_0190
p3_t307758_Ust_bromi_v3@UBRO_00998@53566,UBRO_00998,Usbr_0191
p3_t307758_Ust_bromi_v3@UBRO_00999@80872,UBRO_00999,Usbr_0192
p3_t307758_Ust_bromi_v3@UBRO_01000@53567,UBRO_01000,Usbr_0193
p3_t307758_Ust_bromi_v3@UBRO_01001@53568,UBRO_01001,Usbr_0194
p3_t307758_Ust_bromi_v3@UBRO_01002@53569,UBRO_01002,Usbr_0195
p3_t307758_Ust_bromi_v3@UBRO_01003@53570,UBRO_01003,Usbr_0196
p3_t307758_Ust_bromi_v3@UBRO_01005@53571,UBRO_01005,Usbr_0197
p3_t307758_Ust_bromi_v3@UBRO_01006@53572,UBRO_01006,Usbr_0198
p3_t307758_Ust_bromi_v3@UBRO_01007@53573,UBRO_01007,Usbr_0199
p3_t307758_Ust_bromi_v3@UBRO_01008@53574,UBRO_01008,Usbr_0200
p3_t307758_Ust_bromi_v3@UBRO_00976@53553,UBRO_00976,Usbr_0201
p3_t307758_Ust_bromi_v3@UBRO_00979@53554,UBRO_00979,Usbr_0202
p3_t307758_Ust_bromi_v3@UBRO_00980@53555,UBRO_00980,Usbr_0203
p3_t307758_Ust_bromi_v3@UBRO_00981@53556,UBRO_00981,Usbr_0204
p3_t307758_Ust_bromi_v3@UBRO_00983@53557,UBRO_00983,Usbr_0205
p3_t307758_Ust_bromi_v3@UBRO_00985@53558,UBRO_00985,Usbr_0206
p3_t307758_Ust_bromi_v3@UBRO_00987@53559,UBRO_00987,Usbr_0207
p3_t307758_Ust_bromi_v3@UBRO_00988@53560,UBRO_00988,Usbr_0208
p3_t307758_Ust_bromi_v3@UBRO_00989@53561,UBRO_00989,Usbr_0209
p3_t307758_Ust_bromi_v3@UBRO_00990@53562,UBRO_00990,Usbr_0210
p3_t307758_Ust_bromi_v3@UBRO_00992@80873,UBRO_00992,Usbr_0211
p3_t307758_Ust_bromi_v3@UBRO_00993@80874,UBRO_00993,Usbr_0212
p3_t307758_Ust_bromi_v3@UBRO_20215@53636,UBRO_20215,Usbr_0213
p3_t307758_Ust_bromi_v3@UBRO_20409@80875,UBRO_20409,Usbr_0214
p3_t307758_Ust_bromi_v3@UBRO_00973@53552,UBRO_00973,Usbr_0215
p3_t307758_Ust_bromi_v3@UBRO_00970@53551,UBRO_00970,Usbr_0216
p3_t307758_Ust_bromi_v3@UBRO_00969@53550,UBRO_00969,Usbr_0217
p3_t307758_Ust_bromi_v3@UBRO_00968@53549,UBRO_00968,Usbr_0218
p3_t307758_Ust_bromi_v3@UBRO_00967@53548,UBRO_00967,Usbr_0219
p3_t307758_Ust_bromi_v3@UBRO_00966@53547,UBRO_00966,Usbr_0220
p3_t307758_Ust_bromi_v3@UBRO_00965@53546,UBRO_00965,Usbr_0221
p3_t307758_Ust_bromi_v3@UBRO_00964@53545,UBRO_00964,Usbr_0222
p3_t307758_Ust_bromi_v3@UBRO_00962@53544,UBRO_00962,Usbr_0223
p3_t307758_Ust_bromi_v3@UBRO_00961@53543,UBRO_00961,Usbr_0224
p3_t307758_Ust_bromi_v3@UBRO_00958@53542,UBRO_00958,Usbr_0225
p3_t307758_Ust_bromi_v3@UBRO_00957@53541,UBRO_00957,Usbr_0226
p3_t307758_Ust_bromi_v3@UBRO_00956@53540,UBRO_00956,Usbr_0227
p3_t307758_Ust_bromi_v3@UBRO_00955@53539,UBRO_00955,Usbr_0228
p3_t307758_Ust_bromi_v3@UBRO_00954@53538,UBRO_00954,Usbr_0229
p3_t307758_Ust_bromi_v3@UBRO_00953@53537,UBRO_00953,Usbr_0230
p3_t307758_Ust_bromi_v3@UBRO_00952@53536,UBRO_00952,Usbr_0231
p3_t307758_Ust_bromi_v3@UBRO_00950@53535,UBRO_00950,Usbr_0232
p3_t307758_Ust_bromi_v3@UBRO_00949@53534,UBRO_00949,Usbr_0233
p3_t307758_Ust_bromi_v3@UBRO_00948@53533,UBRO_00948,Usbr_0234
p3_t307758_Ust_bromi_v3@UBRO_00947@53532,UBRO_00947,Usbr_0235
p3_t307758_Ust_bromi_v3@UBRO_00945@53531,UBRO_00945,Usbr_0236
p3_t307758_Ust_bromi_v3@UBRO_00944@53530,UBRO_00944,Usbr_0237
p3_t307758_Ust_bromi_v3@UBRO_00942@80876,UBRO_00942,Usbr_0238
p3_t307758_Ust_bromi_v3@UBRO_00941@53587,UBRO_00941,Usbr_0239
p3_t307758_Ust_bromi_v3@UBRO_00938@53529,UBRO_00938,Usbr_0240
p3_t307758_Ust_bromi_v3@UBRO_00937@53528,UBRO_00937,Usbr_0241
p3_t307758_Ust_bromi_v3@UBRO_00936@53527,UBRO_00936,Usbr_0242
p3_t307758_Ust_bromi_v3@UBRO_00935@53526,UBRO_00935,Usbr_0243
p3_t307758_Ust_bromi_v3@UBRO_12191@80877,UBRO_12191,Usbr_0244
